source	target	length
ABADHA_526E311N_S	SARMAQ_527E310N_S	16972
ABADHA_526E311N_S	SARWISTAN_524E314N_S	36533
ABADHA_537E297N_S	JUBANAN_534E297N_S	30204
ABADHA_537E297N_S	QARYAAS_539E296N_S	20518
ABARKATH_673E397N_S	BUZMAJAN_673E397N_S	7636
ABARKATH_673E397N_S	KHARAQANA_675E399N_S	26550
ABARQUH_532E311N_S	QARYAASAD_538E315N_S	73566
ABARQUH_532E311N_S	QARYABIDH_531E306N_S	61241
ABASKUN_540E370N_S	ASTARABADH_544E367N_S	48669
ABBADAN_482E303N_S	BASRA_477E304N_S	57778
ABBADAN_482E303N_S	ROUTPOINT0303_481E304N_O	17638
ABBASIYYA_317E305N_S	BILBAYS_315E304N_S	18854
ABBASIYYA_317E305N_S	FAQUS_317E307N_S	21236
ABDAS_473E314N_S	BADHIBIN_465E321N_S	107399
ABDAS_473E314N_S	MADHAR_473E314N_S	4272
ABDIN_493E312N_S	AZAM_490E312N_S	26382
ABDIN_493E312N_S	RAMHURMUZ_496E312N_S	28329
ABHAR_492E361N_S	ROUTPOINT0502_492E356N_O	53977
ABHAR_492E361N_S	ROUTPOINT1619_495E359N_O	36473
ABHAR_492E361N_S	ZANJAN_485E366N_S	87969
ABIWARD_595E372N_S	HURMUZFARRAH_616E376N_W	187678
ABIWARD_595E372N_S	RIBATKUFAN_593E372N_S	19302
ABIWARD_595E372N_S	ROUTPOINT1701_596E367N_O	61073
ABKHAN_483E408N_S	QABALA_476E407N_S	67486
ABKHAN_483E408N_S	SHABARAN_487E412N_S	55834
ABNASH_039W396N_S	MALAQUN_039W391N_S	52859
ABNASH_039W396N_S	TULAYTILA_040W398N_S	31915
ABSHIN_635E352N_S	DIZAH_634E354N_S	21679
ABSHIN_635E352N_S	RIBATKARZWAN_638E356N_S	51924
ABSHIN_635E352N_S	RIBATSHUR_635E350N_S	18861
ABSHUR_574E326N_S	BIRBAR_575E321N_S	60384
ABSHUR_574E326N_S	KURI_571E333N_S	83852
ABTIA_500E336N_S	JARBADHAQAN_502E333N_S	38755
ABTIA_500E336N_S	KARAJ_495E338N_S	56740
ABUQSHA_619E410N_O	NABADGHIN_620E407N_S	31266
ABUQSHA_619E410N_O	RIBATSANDAH_617E412N_S	26615
