ID	LAT	LON	TOPONYM
ABADHA_526E311N_S	31.16430	52.66127	Ābāḏaŧ
ABADHA_537E297N_S	29.78210	53.73617	Ābāḏaŧ
ABAN_552E308N_S	30.88547	55.25395	Abān
ABARKATH_673E397N_S	39.79611	67.38308	Abārkaṯ
ABARQUH_532E311N_S	31.15094	53.25737	Abarqūh
ABARTA_449E332N_S	33.20675	44.93375	ʿAbartā
ABAR_782E284N_S	28.46951	78.21440	Abār
ABASKUN_540E370N_S	37.02772	54.04327	Ābaskūn
ABBADAN_482E303N_S	30.33563	48.27394	ʿAbbādān
ABBASIYYA_317E305N_S	30.53647	31.70644	al-ʿAbbāsiyyaŧ
ABDAS_473E314N_S	31.46283	47.33731	ʿAbdās
ABDIN_493E312N_S	31.22889	49.31456	ʿAbdīn
ABHAR_492E361N_S	36.15722	49.23473	Abhar
ABIWARD_595E372N_S	37.27000	59.59733	Abīward
ABKHAN_483E408N_R	40.88004	48.38086	al-Abḫān
ABKHAN_483E408N_S	40.88004	48.38086	al-Abḫān
ABNASH_039W396N_S	39.63212	-3.91003	Abnaš
ABSHAYA_317E264N_S	26.47449	31.79880	Abšāyaŧ
ABSHIN_635E352N_S	35.24882	63.52800	Abšīn
ABSHUR_574E326N_S	32.65943	57.40729	Āb Šūr
ABTIA_500E336N_S	33.62812	50.05422	Abtiʿaŧ
ABUKHASIB_479E304N_S	30.43759	47.99265	Abū al-Ḫaṣīb
ABUQSHA_619E410N_O	41.04840	61.95529	Abūqšaŧ
ABWAB_340E174N_S	17.49927	34.09472	al-Abwāb
ABWA_390E232N_S	23.22814	39.09484	al-Abwāʾ
ABYAD_424E318N_S	31.86163	42.45438	al-Abyaḍ
ABYAYN_449E131N_R	13.14229	44.96348	Abyāyn
ABYAYN_449E131N_S	13.14229	44.96348	Abyāyn
ABZAR_529E282N_S	28.28084	52.94703	Abzar
ADAN_450E127N_S	12.79365	45.03942	ʿAdan
ADHANA_353E369N_S	36.96023	35.34272	Aḏanaŧ
ADHARBAYJAN_479E382N_R	38.24076	47.95801	Aḏarbayǧān
ADHNUN_352E333N_S	33.39418	35.26620	ʿAḏnūn
ADHRAMA_417E369N_S	36.99109	41.72002	Aḏramaŧ
ADHRIAT_360E326N_S	32.61046	36.09087	Aḏriʿāt
ADHRUH_357E303N_S	30.33962	35.75502	Aḏrūḥ
ADRASKAR_622E335N_S	33.59424	62.24983	Adraskar
AFRAHUN_309E311N_R	31.19144	30.91239	al-Afrāḥūn
AFRIDHIN_517E354N_S	35.42345	51.77466	Afrīḏīn
AHAR_471E384N_S	38.45223	47.14386	Ahar
AHNAS_309E291N_S	29.13124	30.95992	Ahnās
AHQAF_508E193N_R	19.38865	50.85870	al-Aḥqāf
AHSA_495E253N_S	25.34929	49.54137	al-Aḥsāʾ
AHWAR_465E136N_R	13.67538	46.54442	Aḥwar
AHWAR_466E135N_S	13.56967	46.61972	Aḥwar
AHWAZ_486E313N_R	31.32986	48.69059	al-Ahwāz
AHWAZ_486E313N_S	31.32986	48.69059	al-Ahwāz
AJARUD_323E300N_S	30.05828	32.38039	ʿAǧarūd
AJDABIYYA_202E304N_S	30.46697	20.20218	Aǧdābiyyaŧ
AJFUR_429E274N_S	27.44255	42.97781	al-Aǧfur
AJGH_569E375N_S	37.51437	56.95205	Aǧġ
AJWALI_374E298N_S	29.87858	37.43170	al-Aǧwalī
AKHDAMIYYA_422E322N_S	32.28927	42.23928	al-Aḫdamiyyaŧ
AKHILLA_451E132N_R	13.20320	45.17945	Aḫillaŧ
AKHLAT_425E387N_S	38.76551	42.51044	Aḫlāṭ
AKHMIM_317E265N_S	26.56301	31.72957	Aḫmīm
AKHSHIKATH_713E409N_S	40.91733	71.36392	Aḫšīkaṯ
AKHSISAK_652E378N_S	37.88800	65.26937	Aḫsīsak
AKHUR_557E391N_S	39.19825	55.71277	Āḫur
AKHYAS_130E381N_S	38.13882	13.09201	Aḫyās
AKKA_350E329N_S	32.92878	35.07559	ʿAkkaŧ
ALHAM_522E365N_S	36.56405	52.23414	Alham
ALHAN_440E148N_R	14.80399	44.07982	Alhān
ALLAQI_328E230N_S	23.01969	32.87404	ʿAllaqī
ALTH_440E340N_S	34.02656	44.08916	ʿAlṯ 
