source	target	weight	episode
ADMIRAL ACKBAR	ADMIRAL STATURA	1	episode-7
ANAKIN	BAIL ORGANA	2	episode-3
BALA-TIK	BB-8	1	episode-7
ANAKIN	BERU	1	episode-2
DARTH VADER	BOBA FETT	3	episode-5
ANAKIN	BOSS NASS	1	episode-1
ANAKIN	BRAVO THREE	1	episode-1
ANAKIN	BRAVO TWO	2	episode-1
BRAVO THREE	BRAVO TWO	2	episode-1
ANAKIN	C-3PO	3	episode-1
ANAKIN	C-3PO	3	episode-2
BERU	C-3PO	1	episode-2
ANAKIN	C-3PO	4	episode-3
BAIL ORGANA	C-3PO	3	episode-3
BERU	C-3PO	2	episode-4
BIGGS	C-3PO	1	episode-4
DARTH VADER	C-3PO	1	episode-5
BOBA FETT	C-3PO	1	episode-5
ADMIRAL ACKBAR	C-3PO	1	episode-6
BIB FORTUNA	C-3PO	2	episode-6
BOUSHH	C-3PO	2	episode-6
ADMIRAL ACKBAR	C-3PO	1	episode-7
ADMIRAL STATURA	C-3PO	2	episode-7
BB-8	C-3PO	5	episode-7
BIGGS	CAMIE	2	episode-4
BAIL ORGANA	CAPTAIN ANTILLES	2	episode-3
C-3PO	CAPTAIN ANTILLES	1	episode-3
ANAKIN	CAPTAIN PANAKA	2	episode-1
BOSS NASS	CAPTAIN PANAKA	1	episode-1
ANAKIN	CAPTAIN TYPHO	2	episode-2
ANAKIN	CAPTAIN TYPHO	1	episode-3
C-3PO	CAPTAIN TYPHO	2	episode-3
C-3PO	CHEWBACCA	4	episode-4
DARTH VADER	CHEWBACCA	1	episode-5
BOBA FETT	CHEWBACCA	1	episode-5
C-3PO	CHEWBACCA	21	episode-5
C-3PO	CHEWBACCA	13	episode-6
BALA-TIK	CHEWBACCA	1	episode-7
BB-8	CHEWBACCA	9	episode-7
C-3PO	CHEWBACCA	2	episode-7
CAPTAIN PHASMA	CHEWBACCA	1	episode-7
ANAKIN	CLIEGG	2	episode-2
BERU	CLIEGG	1	episode-2
C-3PO	CLIEGG	1	episode-2
ANAKIN	CLONE COMMANDER CODY	1	episode-3
DARTH MAUL	DARTH SIDIOUS	3	episode-1
