"usid","issue"
"329US1",80180
"329US14",10500
"329US29",80250
"329US40",20150
"329US64",80060
"329US69",80100
"329US90",80120
"329US129",90200
"329US143",70190
"329US156",80030
"329US173",10120
"329US187",20130
"329US211",10400
"329US223",80320
"329US230",40070
"329US249",80100
"329US287",80170
"329US296",120010
"329US304",30130
"329US317",30130
"329US324",70100
"329US338",30130
"329US362",120030
"329US379",10430
"329US394",80180
"329US402",80180
"329US416",80100
"329US424",80230
"329US433",80110
"329US441",80120
"329US452",80040
"329US459",10130
"329US482",90110
"329US495",50040
"329US520",90320
"329US531",90120
"329US539",90120
"329US545",110030
"329US565",80030
"329US585",80060
"329US591",80220
"329US599",40070
"329US607",80220
"329US637",80180
"329US649",80040
"329US654",80060
"329US663",10120
"330US1",30170
"330US75",90340
"330US127",30010
"330US158",70040
"330US160",10170
"330US169",20150
"330US183",90460
"330US212",90330
"330US219",70070
"330US238",80220
"330US248",80220
"330US258",10080
"330US386",100050
"330US395",70020
"330US422",80100
"330US446",80050
"330US464",90140
"330US469",80040
"330US485",70070
"330US501",90140
"330US518",90140
"330US539",120030
"330US545",70040
"330US552",20060
"330US567",80230
"330US585",10080
"330US610",110030
"330US622",110030
"330US631",10600
"330US649",70040
"330US695",70040
"330US709",120010
"330US731",90320
"330US743",80010
"330US767",100030
"331US1",120010
"331US17",70040
"331US28",80030
"331US40",20250
"331US70",80100
"331US96",90380
"331US100",90340
"331US111",10360
"331US125",80200
"331US132",90320
"331US145",10050
"331US199",70040
"331US210",120010
"331US218",100030
"331US247",100030
"331US256",100010
"331US284",80220
"331US367",30010
"331US398",70130
"331US416",90130
"331US432",80170
"331US461",90520
"331US469",10370
"331US477",80040
"331US486",80100
"331US503",20310
"331US519",70200
"331US532",20240
"331US543",90380
"331US549",90180
"331US586",110030
"331US642",80030
"331US682",80300
"331US694",120010
"331US704",120010
"331US722",70040
"331US731",80070
"331US737",120010
"331US745",40070
"331US752",90050
"332US1",30010
"332US46",10090
"332US126",120010
"332US134",10120
"332US145",10120
"332US155",80070
"332US168",80100
"332US174",30130
"332US194",80120
"332US218",80010
"332US234",80060
"332US245",80030
"332US258",90370
"332US261",10190
"332US301",80070
"332US319",80010
"332US371",10430
"332US380",80060
"332US388",20110
"332US392",80010
"332US407",80060
"332US422",70040
"332US442",30130
"332US459",80040
"332US463",20040
"332US469",40070
"332US480",40070
"332US490",90120
"332US495",80100
"332US507",100030
"332US524",120010
"332US535",120010
"332US539",10400
"332US561",10280
"332US571",90110
"332US575",10400
"332US581",10050
"332US596",10010
"332US625",80040
"332US631",20050
"332US633",20040
"332US689",80170
"332US708",10120
"332US742",10010
"333US1",20240
"333US6",20110
"333US10",10050
"333US18",10410
"333US28",20040
"333US46",80040
"333US56",10080
"333US95",90190
"333US103",90120
"333US118",80110
"333US127",80180
"333US138",40070
"333US147",20050
"333US153",90320
"333US163",90140
"333US169",80220
"333US178",30020
"333US196",40010
"333US203",30180
"333US257",10080
"333US287",80010
"333US364",80010
"333US411",20250
"333US424",10550
"333US426",90320
"333US437",70200
"333US445",80070
"333US472",80170
"333US483",10480
"333US496",120010
"333US507",30010
"333US541",80110
"333US565",20040
"333US571",40010
"333US586",20150
"333US591",90460
"333US611",120030
"333US640",10120
"333US683",40010
"333US740",10220
"333US771",80220
"333US795",80010
"333US821",80040
"334US1",20040
"334US24",20040
"334US37",80010
"334US62",90380
"334US100",80010
"334US110",80010
"334US131",80010
"334US182",100020
"334US210",90320
"334US219",80010
"334US249",70040
"334US258",90330
"334US266",10020
"334US304",90320
"334US314",40020
"334US323",20250
"334US343",40060
"334US385",20220
"334US410",20120
"334US431",10130
"334US446",70040
"334US495",80020
"334US541",110030
"334US555",110030
"334US558",30010
"334US573",90140
"334US602",20250
"334US624",40070
"334US653",80100
"334US672",90040
"334US699",10050
"334US717",80100
"334US728",10120
"334US736",10010
"334US742",40070
"334US806",90180
"335US1",10110
"335US77",10110
