source	target	weight	episode
ADMIRAL ACKBAR	ADMIRAL STATURA	1	episode-7
ADMIRAL ACKBAR	C-3PO	1	episode-6
ADMIRAL ACKBAR	C-3PO	1	episode-7
ADMIRAL ACKBAR	FINN	1	episode-7
ADMIRAL ACKBAR	HAN	1	episode-6
ADMIRAL ACKBAR	HAN	1	episode-7
ADMIRAL ACKBAR	LANDO	5	episode-6
ADMIRAL ACKBAR	LEIA	1	episode-6
ADMIRAL ACKBAR	LEIA	1	episode-7
ADMIRAL ACKBAR	LUKE	1	episode-6
ADMIRAL ACKBAR	MON MOTHMA	1	episode-6
ADMIRAL ACKBAR	POE	1	episode-7
ADMIRAL ACKBAR	SNAP	1	episode-7
ADMIRAL ACKBAR	WEDGE	1	episode-6
ADMIRAL STATURA	C-3PO	2	episode-7
ADMIRAL STATURA	FINN	1	episode-7
ADMIRAL STATURA	HAN	1	episode-7
ADMIRAL STATURA	LEIA	2	episode-7
ADMIRAL STATURA	POE	1	episode-7
ADMIRAL STATURA	SNAP	1	episode-7
ANAKIN (DW)	BAIL ORGANA	2	episode-3
ANAKIN (DW)	BERU	1	episode-2
ANAKIN (DW)	BOBA FETT	3	episode-5
ANAKIN (DW)	BOSS NASS	1	episode-1
ANAKIN (DW)	BRAVO THREE	1	episode-1
ANAKIN (DW)	BRAVO TWO	2	episode-1
ANAKIN (DW)	C-3PO	3	episode-1
ANAKIN (DW)	C-3PO	3	episode-2
ANAKIN (DW)	C-3PO	4	episode-3
ANAKIN (DW)	C-3PO	1	episode-5
ANAKIN (DW)	CAPTAIN PANAKA	2	episode-1
ANAKIN (DW)	CAPTAIN TYPHO	2	episode-2
ANAKIN (DW)	CAPTAIN TYPHO	1	episode-3
ANAKIN (DW)	CHEWBACCA	1	episode-5
ANAKIN (DW)	CLIEGG	2	episode-2
ANAKIN (DW)	CLONE COMMANDER CODY	1	episode-3
ANAKIN (DW)	COUNT DOOKU	2	episode-2
ANAKIN (DW)	COUNT DOOKU	1	episode-3
ANAKIN (DW)	GENERAL GRIEVOUS	1	episode-3
ANAKIN (DW)	GREEDO	1	episode-1
ANAKIN (DW)	HAN	2	episode-5
ANAKIN (DW)	JABBA	1	episode-1
ANAKIN (DW)	JAR JAR	8	episode-1
ANAKIN (DW)	JAR JAR	3	episode-2
ANAKIN (DW)	JAR JAR	1	episode-3
ANAKIN (DW)	JERJERROD	1	episode-6
ANAKIN (DW)	JIRA	2	episode-1
ANAKIN (DW)	JOBAL	1	episode-2
ANAKIN (DW)	KI-ADI-MUNDI	2	episode-1
ANAKIN (DW)	KITSTER	3	episode-1
