ID	AFFILIATIONS	SIDE
ADMIRAL ACKBAR	Rebel Alliance, New Republic, Resistance	light
ADMIRAL STATURA	Resistance	light
ANAKIN	Jedi Order, Old Republic	light
ANAKIN (DW)	Jedi Order, Old Republic, Empire, Sith Order	anakin
BAIL ORGANA	Old Republic, Rebel Alliance	light
BALA-TIK	Criminals	neutral
BB-8	Resistance, Droids	neutral
BERU	Civilians, Outer Rim	neutral
BIB FORTUNA	Hutts, Criminals, Outer Rim	neutral
BIGGS	Rebel Alliance, Rogue Squadron	light
BOBA FETT	Bounty Hunters	neutral
BOSS NASS	Old Republic, Naboo, Leader	light
BOUSHH	Bounty Hunters	neutral
BRAVO THREE	Military, Naboo, Old Republic	light
BRAVO TWO	Military, Naboo, Old Republic	light
C-3PO	Old Republic, Droids, Rebel Alliance, New Republic, Resistance	neutral
CAMIE	Civilians, Outer Rim	neutral
CAPTAIN ANTILLES	Rebel Alliance, Rogue Squadron, New Republic	light
CAPTAIN PANAKA	Military, Naboo, Old Republic	light
CAPTAIN PHASMA	Military, First Order	dark
CAPTAIN TYPHO	Military, Naboo, Old Republic	light
CHEWBACCA	Smugglers, Rebel Alliance, New Republic, Resistance	light
CLIEGG	Civilians, Outer Rim	neutral
CLONE COMMANDER CODY	Military, Old Republic	light
CLONE COMMANDER GREE	Military, Old Republic	light
COLONEL DATOO	First Order, Military	dark
COUNT DOOKU	Jedi Order, Sith Order, Separatists	dark
DACK	Rebel Alliance, Rogue Squadron	light
PALPATINE (DS)	Old Republic, Senate, Sith Order, Empire	dark
DARTH MAUL	Sith Order	dark
DARTH VADER	Sith Order, Empire	dark
DERLIN	Rebel Alliance, New Republic	light
DODONNA	Old Republic, Rebel Alliance	light
DOFINE	Trade Federation, Old Republis, Separatists	dark
ELLO ASTY	Resistance, Military	light
EMPEROR	Sith Order, Empire	dark
FANG ZAR	Old Republic, Senate	light
FINN	First Order, Resistance	light
FODE/BEED	Civilians, Outer Rim	neutral
GENERAL CEEL	Military, Naboo, Old Republic	light
GENERAL GRIEVOUS	Separatists, Old Republic	dark
GENERAL HUX	First Order	dark
GIDDEAN DANU	Old Republic, Senate	light
GOLD LEADER	Old Republic, Rebel Alliance, Gold Squadron, Military	light
GREEDO	Bounty Hunter	neutral
HAN	Smuggler, Rebellion, New Republic	light
JABBA	Hutts, Criminals	neutral
JANGO FETT	Bounty Hunters	neutral
JANSON	Rebel Alliance, Military, Rogue Squadron	light
JAR JAR	Naboo, Old Republic, Senate	light
JERJERROD	Empire, Military	dark
JESS	Hutts, Civilians	neutral
JIRA	Civilians, Outer Rim	neutral
JOBAL	Civilians, Naboo	neutral
KI-ADI-MUNDI	Jedi Order, Old Republic	light
KITSTER	Civilians, Outer Rim	neutral
KYLO REN	First Order, Knights of Ren, New_Jedi Order	dark
LAMA SU	Kamino, Administrator	neutral
LANDO	Smugglers, New Republic	neutral
LEIA	Rebel Alliance, New Republic, Resistance	light
LIEUTENANT MITAKA	Military, First Order	dark
LOR SAN TEKKA	New Rebublic, Resistance, Church of the Force	neutral
LUKE	Rebel Alliance, New_Jedi Order, New Republic, Resistance	light
MACE WINDU	Jedi Order, Old Republic	light
MAZ	Civilians, Pirates, Smugglers, Criminals	neutral
MON MOTHMA	Old Republic, New Republic, Senate, Rebel Alliance, Resistance	light
MOTTI	Military, Empire	dark
NEEDA	Old Republic, Empire, Military	dark
NIV LEK	Resistance	light
NUTE GUNRAY	Separatists, Old Republic, Trade Federation	dark
OBI-WAN	Jedi Order, Old Republic, Rebel Alliance	light
ODD BALL	Old Republic, Military, Clones	light
ORN FREE TAA	Old Republic, Empire, Senate	neutral
OWEN	Civilians, Outer Rim	neutral
OZZEL	Old Republic, Empire, Military	dark
PADME	Old Republic, Senate	light
PIETT	Empire, Military	dark
PK-4	Droids	neutral
PLO KOON	Jedi Order, Old Republic	light
POE	New Republic, Resistance, Military	light
POGGLE	Separatists, Techno Union	dark
QUI-GON	Jedi Order, Old Republic	light
R2-D2	Old Rebuplic, New Republic, Rebel Alliance, Resistance, Droids	neutral
RABE	Old Republic, Naboo	neutral
RED LEADER	Military, Rebellion	light
RED TEN	Military, Rebellion	light
REY	Resistance, New_Jedi Order	light
RIC OLIE	Military, Naboo, Old Republic	neutral
RIEEKAN	Old Republic, Rebel Alliance, New Republic, Military	light
RUNE	Trade Federation, Separatists	dark
RUWEE	Civilians, Naboo	neutral
SEBULBA	Outer Rim, Civilians	neutral
SENATOR ASK AAK	Old Republic, Senate	light
SHMI	Civilians, Outer Rim	neutral
SIO BIBBLE	Old Republic, Administrator, Naboo	neutral
SNAP	Resistance, Blue Squadron, Military, New Republic	light
SNOKE	First Order	dark
SOLA	Civilians, Naboo	neutral
SUN RIT	Military, Separatists	dark
TARKIN	Empire, Old Republic, Military	dark
TARPALS	Military, Naboo, Old Republic	light
TAUN WE	Administrator, Kamino	neutral
TC-14	Droids, Trade Federation	dark
TEY HOW	Trade Federation, Separatists	dark
TION MEDON	Old Republic, Utapau, Administrator	neutral
UNKAR PLUTT	Criminals, Outer Rim	neutral
VALORUM	Old Republic, Senate	light
WALD	Civilians, Outer Rim	neutral
WATTO	Civilians, Outer Rim	neutral
WEDGE	Rebel Alliance, New Republic, Military	light
YODA	Jedi Order, Old Republic	light
YOLO ZIFF	Resistance, Blue Squadron, Military	light
ZEV	Rebel Alliance, Rogue Squadron	light
